n02268443	dragonfly	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: darner dragonfly, emerald dragonfly, adult dragonfly, zone dragonfly, skimmer dragonfly, hawker dragonfly	[lemma] *: dragonfly in, dragonfly nymph, dragonfly or, dragonfly &#39;s, dragonfly larva, dragonfly and, dragonfly larvae, dragonfly is, dragonfly with, dragonfly nymphs	[lemma] in the *: 	* [lemma]: A dragonfly, the dragonfly, blue dragonfly, The dragonfly, a dragonfly, in dragonfly, large dragonfly, of dragonfly, adult dragonfly, and dragonfly	*_ADJ [lemma]: blue dragonfly, giant dragonfly, red dragonfly, small dragonfly, male dragonfly, large dragonfly, green dragonfly, adult dragonfly, winged dragonfly, young dragonfly
n02747177	trash can	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: corner trash can, household trash can, kitchen trash can, steel trash can, city trash can, aluminum trash can, tin trash can, Macintosh trash can, bathroom trash can, wire trash can	[lemma] *: trash can is, trash can and, trash can to, trash can or, trash can with, trash can at, trash can not, trash can be, trash can on, trash can in	[lemma] in the *: trash can in the kitchen, trash can in the alley, trash can in the garage, trash can in the bathroom	* [lemma]: The trash can, the trash can, nearest trash can, &#39;s trash can, metal trash can, plastic trash can, and trash can, nearby trash can, a trash can, or trash can	*_ADJ [lemma]: empty trash can, freedom trash can, big trash can, such trash can, metal trash can, nearest trash can, plastic trash can, large trash can, nearby trash can, overflowing trash can
n02747177	garbage can	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: family garbage can, gallon garbage can, kitchen garbage can, tin garbage can, aluminum garbage can, household garbage can, city garbage can, steel garbage can, wire garbage can, iron garbage can	[lemma] *: garbage can or, garbage can is, garbage can of, garbage can for, garbage can in, garbage can model, garbage can be, garbage can with, garbage can and, garbage can to	[lemma] in the *: garbage can in the garage, garbage can in the alley, garbage can in the kitchen, garbage can in the back	* [lemma]: a garbage can, the garbage can, &#39;s garbage can, The garbage can, and garbage can, plastic garbage can, or garbage can, A garbage can, of garbage can, metal garbage can	*_ADJ [lemma]: old garbage can, large garbage can, empty garbage can, nearest garbage can, small garbage can, plastic garbage can, human garbage can, big garbage can, open garbage can, metal garbage can
n02747177	wastebin	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: wastebin in, wastebin of, wastebin for, wastebin and	[lemma] in the *: 	* [lemma]: the wastebin, a wastebin	*_ADJ [lemma]: 
n02747177	ash bin	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: ash bin of, ash bin and	[lemma] in the *: 	* [lemma]: an ash bin, the ash bin	*_ADJ [lemma]: 
n02747177	ash-bin	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: ash - bin or	[lemma] in the *: 	* [lemma]: the ash - bin, sheltering ash - bin, an ash - bin	*_ADJ [lemma]: 
n02747177	ashbin	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: ashbin refuse, ashbin of, ashbin cat	[lemma] in the *: 	* [lemma]: the ashbin, of ashbin, an ashbin	*_ADJ [lemma]: 
n02747177	dustbin	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: iron dustbin, household dustbin	[lemma] *: dustbin or, dustbin lids, dustbin in, dustbin is, dustbin of, dustbin lid, dustbin with, dustbin and, dustbin to, dustbin for	[lemma] in the *: 	* [lemma]: his dustbin, or dustbin, my dustbin, the dustbin, of dustbin, a dustbin, plastic dustbin, &#39;s dustbin, The dustbin, and dustbin	*_ADJ [lemma]: domestic dustbin, own dustbin, new dustbin, metal dustbin, large dustbin, old dustbin, ordinary dustbin, plastic dustbin, historical dustbin, sanitary dustbin
n02747177	trash barrel	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: trash barrel in, trash barrel and, trash barrel to, trash barrel on, trash barrel at, trash barrel by, trash barrel was, trash barrel behind, trash barrel or, trash barrel with	[lemma] in the *: 	* [lemma]: his trash barrel, metal trash barrel, nearest trash barrel, large trash barrel, the trash barrel, nearby trash barrel, a trash barrel, &#39;s trash barrel, big trash barrel, plastic trash barrel	*_ADJ [lemma]: metal trash barrel, nearest trash barrel, large trash barrel, nearby trash barrel, overflowing trash barrel, green trash barrel, big trash barrel, plastic trash barrel
n02747177	trash bin	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: kitchen trash bin, wire trash bin	[lemma] *: trash bin or, trash bin was, trash bin at, trash bin with, trash bin in, trash bin to, trash bin of, trash bin and, trash bin on, trash bin behind	[lemma] in the *: 	* [lemma]: nearby trash bin, a trash bin, &#39;s trash bin, nearest trash bin, metal trash bin, large trash bin, that trash bin, the trash bin, or trash bin, The trash bin	*_ADJ [lemma]: nearby trash bin, large trash bin, overflowing trash bin, nearest trash bin, metal trash bin, plastic trash bin, huge trash bin, big trash bin
n02814533	beach wagon	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: beach wagon and	[lemma] in the *: 	* [lemma]: a beach wagon, the beach wagon	*_ADJ [lemma]: 
n02814533	station wagon	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: Volvo station wagon, Ford station wagon, Pontiac station wagon, family station wagon, Mercury station wagon, Chevrolet station wagon, Plymouth station wagon, Chevy station wagon, jeep station wagon, Rambler station wagon	[lemma] *: station wagon was, station wagon or, station wagon which, station wagon that, station wagon in, station wagon is, station wagon with, station wagon and, station wagon to, station wagon for	[lemma] in the *: station wagon in the garage, station wagon in the driveway, station wagon in the parking, station wagon in the drive	* [lemma]: her station wagon, a station wagon, The station wagon, Ford station wagon, &#39;s station wagon, new station wagon, our station wagon, old station wagon, his station wagon, the station wagon	*_ADJ [lemma]: big station wagon, red station wagon, green station wagon, battered station wagon, compact station wagon, old station wagon, new station wagon, white station wagon, Buick station wagon, blue station wagon
n02814533	wagon	[lemma] is *_VERB: wagon is going, wagon is drawn, wagon is loaded, wagon is coming, wagon is moving, wagon is brought, wagon is driven	[lemma] was *_VERB: wagon was loaded, wagon was driven, wagon was drawn, wagon was going, wagon was standing	*_NOUN [lemma]: lumber wagon, band wagon, chuck wagon, milk wagon, tank wagon, delivery wagon, station wagon, farm wagon, spring wagon, patrol wagon	[lemma] *: wagon for, wagon in, wagon trains, wagon and, wagon train, wagon was, wagon with, wagon to, wagon or, wagon road	[lemma] in the *: wagon in the yard, wagon in the rear, wagon in the country, wagon in the morning, wagon in the place, wagon in the street, wagon in the train, wagon in the road	* [lemma]: and wagon, of wagon, &#39;s wagon, The wagon, his wagon, a wagon, by wagon, the wagon, station wagon, covered wagon	*_ADJ [lemma]: horse wagon, good wagon, old wagon, loaded wagon, covered wagon, heavy wagon, little wagon, light wagon, express wagon, first wagon
n02814533	estate car	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: Volvo estate car, Peugeot estate car, family estate car, Ford estate car	[lemma] *: estate car or, estate car is, estate car to, estate car for, estate car that, estate car was, estate car which, estate car and, estate car in, estate car with	[lemma] in the *: 	* [lemma]: an estate car, old estate car, his estate car, and estate car, small estate car, large estate car, Peugeot estate car, or estate car, Volvo estate car, the estate car	*_ADJ [lemma]: old estate car, big estate car, blue estate car, small estate car, battered estate car, large estate car, green estate car
n02814533	beach waggon	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: 	[lemma] in the *: 	* [lemma]: 	*_ADJ [lemma]: 
n02814533	station waggon	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: 	[lemma] in the *: 	* [lemma]: the station waggon, a station waggon	*_ADJ [lemma]: 
n02814533	waggon	[lemma] is *_VERB: waggon is drawn, waggon is going, waggon is prepar&#39;d, waggon is sent, waggon is loaded, waggon is put, waggon is gone	[lemma] was *_VERB: waggon was overturned, waggon was upset, waggon was loaded, waggon was covered, waggon was standing, waggon was broken, waggon was drawn, waggon was passing	*_NOUN [lemma]: railway waggon, stage waggon, ammunition waggon, horse waggon, spring waggon, travelling waggon, baggage waggon, ox waggon, farm waggon, ambulance waggon	[lemma] *: waggon is, waggon and, waggon of, waggon was, waggon or, waggon loads, waggon for, waggon to, waggon with, waggon in	[lemma] in the *: waggon in the distance, waggon in the afternoon, waggon in the street, waggon in the yard, waggon in the highway, waggon in the road	* [lemma]: our waggon, a waggon, my waggon, the waggon, or waggon, and waggon, his waggon, &#39;s waggon, of waggon, The waggon	*_ADJ [lemma]: covered waggon, wheeled waggon, first waggon, loaded waggon, empty waggon, such waggon, heavy waggon, old waggon, light waggon, large waggon
n04467665	trailer truck	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: tractor trailer truck, wheel trailer truck	[lemma] *: trailer truck with, trailer truck and, trailer truck for, trailer truck in, trailer truck which, trailer truck that, trailer truck on, trailer truck is, trailer truck was, trailer truck to	[lemma] in the *: 	* [lemma]: big trailer truck, large trailer truck, a trailer truck, tractor trailer truck, A trailer truck, of trailer truck, The trailer truck, the trailer truck, wheel trailer truck, huge trailer truck	*_ADJ [lemma]: big trailer truck, flatbed trailer truck, foot trailer truck, ton trailer truck, huge trailer truck, large trailer truck
n04467665	tractor trailer	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: wheel tractor trailer	[lemma] *: tractor trailer or, tractor trailer with, tractor trailer was, tractor trailer trucks, tractor trailer to, tractor trailer truck, tractor trailer and, tractor trailer rig, tractor trailer unit, tractor trailer rigs	[lemma] in the *: 	* [lemma]: by tractor trailer, or tractor trailer, wheel tractor trailer, of tractor trailer, and tractor trailer, the tractor trailer, a tractor trailer, large tractor trailer, The tractor trailer, A tractor trailer	*_ADJ [lemma]: jackknifed tractor trailer, semi tractor trailer, huge tractor trailer, overturned tractor trailer, foot tractor trailer, double tractor trailer, large tractor trailer, big tractor trailer
n04467665	trucking rig	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: 	[lemma] in the *: 	* [lemma]: 	*_ADJ [lemma]: 
n04467665	rig	[lemma] is *_VERB: rig is designed, rig is equipped, rig is moved, rig is mounted, rig is set, rig is required	[lemma] was *_VERB: rig was changed, rig was altered, rig was moved, rig was designed, rig was developed	*_NOUN [lemma]: head rig, test rig, drill rig, livery rig, drilling rig, jury rig, spray rig, oil rig, sloop rig, cutter rig	[lemma] *: rig in, rig up, rig and, rig of, rig for, rig a, rig was, rig the, rig is, rig out	[lemma] in the *: rig in the North, rig in the area, rig in the chimney, rig in the bowsprit, rig in the water, rig in the Gulf, rig in the hope	* [lemma]: _ rig, this rig, to rig, a rig, drilling rig, The rig, and rig, the rig, of rig, his rig	*_ADJ [lemma]: standard rig, new rig, full rig, schooner rig, square rig, lateen rig, rotary rig, whole rig, same rig, aft rig
n04467665	articulated lorry	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: articulated lorry had, articulated lorry with, articulated lorry is, articulated lorry was, articulated lorry and	[lemma] in the *: 	* [lemma]: An articulated lorry, large articulated lorry, huge articulated lorry, the articulated lorry, an articulated lorry	*_ADJ [lemma]: large articulated lorry, huge articulated lorry
n04467665	semi	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: iron semi, centrum semi, interest semi, others semi, feet semi, something semi, term semi, Shell semi, part semi, time semi	[lemma] *: semi circular, semi or, semi annually, semi diameter, semi and, semi transparent, semi annual, semi arid, semi \u2022, semi circle	[lemma] in the *: semi in the suburbs	* [lemma]: with semi, are semi, the semi, a semi, or semi, in semi, The semi, of semi, and semi, is semi	*_ADJ [lemma]: large semi, such semi, great semi, apparent semi, small semi, payable semi, least semi, only semi, many semi, other semi
n01984695	spiny lobster	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: Florida spiny lobster, California spiny lobster, Bermuda spiny lobster	[lemma] *: spiny lobster Panulirus, spiny lobster has, spiny lobster of, spiny lobster is, spiny lobster Jasus, spiny lobster and, spiny lobster or, spiny lobster fishery, spiny lobster are, spiny lobster in	[lemma] in the *: 	* [lemma]: a spiny lobster, and spiny lobster, the spiny lobster, The spiny lobster, California spiny lobster, or spiny lobster, of spiny lobster, for spiny lobster, Florida spiny lobster, Japanese spiny lobster	*_ADJ [lemma]: Hawaiian spiny lobster, local spiny lobster, large spiny lobster, juvenile spiny lobster, Indian spiny lobster, Caribbean spiny lobster, Japanese spiny lobster
n01984695	langouste	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: langouste of, langouste is, langouste to, langouste and, langouste or, langouste with, langouste a, langouste in	[lemma] in the *: 	* [lemma]: with langouste, or langouste, la langouste, The langouste, called langouste, and langouste, the langouste, a langouste, de langouste, of langouste	*_ADJ [lemma]: local langouste, cold langouste, de langouste, French langouste
n01984695	rock lobster	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: Zealand rock lobster, coast rock lobster, Cape rock lobster	[lemma] *: rock lobster fishery, rock lobster or, rock lobster and, rock lobster Panulirus, rock lobster industry, rock lobster in, rock lobster tail, rock lobster Jasus, rock lobster tails, rock lobster is	[lemma] in the *: 	* [lemma]: the rock lobster, Australian rock lobster, and rock lobster, The rock lobster, African rock lobster, for rock lobster, western rock lobster, or rock lobster, a rock lobster, of rock lobster	*_ADJ [lemma]: southern rock lobster, frozen rock lobster, tropical rock lobster, spiny rock lobster, female rock lobster, African rock lobster, Australian rock lobster, Western rock lobster, western rock lobster, red rock lobster
n01984695	crawfish	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: river crawfish, pound crawfish, Cape crawfish, sea crawfish, Louisiana crawfish, pounds crawfish	[lemma] *: crawfish in, crawfish and, crawfish or, crawfish is, crawfish to, crawfish were, crawfish are, crawfish for, crawfish tails, crawfish of	[lemma] in the *: crawfish in the water	* [lemma]: The crawfish, and crawfish, of crawfish, a crawfish, the crawfish, to crawfish, or crawfish, with crawfish, live crawfish, for crawfish	*_ADJ [lemma]: many crawfish, water crawfish, young crawfish, large crawfish, small crawfish, red crawfish, common crawfish, live crawfish, blind crawfish, boiled crawfish
n01984695	crayfish	[lemma] is *_VERB: crayfish is hatched, crayfish is divided, crayfish is held	[lemma] was *_VERB: 	*_NOUN [lemma]: cave crayfish, sea crayfish, water crayfish, baby crayfish, mother crayfish, Murray crayfish, River crayfish, river crayfish, dwarf crayfish, dozen crayfish	[lemma] *: crayfish in, crayfish has, crayfish were, crayfish with, crayfish are, crayfish from, crayfish or, crayfish and, crayfish to, crayfish is	[lemma] in the *: crayfish in the streams, crayfish in the water, crayfish in the river, crayfish in the brook, crayfish in the creek, crayfish in the stream	* [lemma]: a crayfish, of crayfish, in crayfish, _ crayfish, or crayfish, the crayfish, and crayfish, The crayfish, for crayfish, freshwater crayfish	*_ADJ [lemma]: common crayfish, small crayfish, little crayfish, female crayfish, large crayfish, English crayfish, water crayfish, young crayfish, blind crayfish, freshwater crayfish
n01984695	sea crawfish	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: 	[lemma] in the *: 	* [lemma]: 	*_ADJ [lemma]: 
n02125311	cougar	[lemma] is *_VERB: 	[lemma] was *_VERB: cougar was killed, cougar was treed, cougar was shot	*_NOUN [lemma]: Texas cougar, baby cougar, mother cougar, Florida cougar, pet cougar, mountain cougar	[lemma] *: cougar and, cougar is, cougar will, cougar was, cougar of, cougar had, cougar in, cougar &#39;s, cougar skin, cougar or	[lemma] in the *: cougar in the wild	* [lemma]: A cougar, a cougar, _ cougar, or cougar, and cougar, male cougar, large cougar, The cougar, the cougar, of cougar	*_ADJ [lemma]: Mexican cougar, large cougar, American cougar, male cougar, female cougar, young cougar, big cougar, old cougar, eastern cougar, occasional cougar
n02125311	puma	[lemma] is *_VERB: 	[lemma] was *_VERB: puma was cramped, puma was resting	*_NOUN [lemma]: mountain puma, Surrey puma, stone puma, word puma, baby puma, Florida puma, mother puma	[lemma] *: puma had, puma &#39;s, puma or, puma in, puma and, puma of, puma was, puma are, puma is, puma has	[lemma] in the *: 	* [lemma]: _ puma, or puma, A puma, young puma, a puma, of puma, The puma, the puma, large puma, and puma	*_ADJ [lemma]: young puma, tawny puma, huge puma, male puma, red puma, tame puma, American puma, large puma, female puma, black puma
n02125311	catamount	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: 	[lemma] *: catamount or, catamount and, catamount to, catamount is, catamount of, catamount in, catamount that, catamount had, catamount &#39;s, catamount was	[lemma] in the *: 	* [lemma]: The catamount, the catamount, stuffed catamount, that catamount, and catamount, a catamount, A catamount, or catamount, _ catamount, young catamount	*_ADJ [lemma]: old catamount, stuffed catamount, large catamount, huge catamount, big catamount, little catamount, young catamount
n02125311	mountain lion	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: mother mountain lion, California mountain lion, baby mountain lion	[lemma] *: mountain lion or, mountain lion that, mountain lion had, mountain lion and, mountain lion in, mountain lion &#39;s, mountain lion is, mountain lion to, mountain lion on, mountain lion was	[lemma] in the *: mountain lion in the wild	* [lemma]: A mountain lion, The mountain lion, or mountain lion, large mountain lion, a mountain lion, and mountain lion, _ mountain lion, of mountain lion, young mountain lion, the mountain lion	*_ADJ [lemma]: American mountain lion, large mountain lion, occasional mountain lion, tawny mountain lion, female mountain lion, big mountain lion, huge mountain lion, grown mountain lion, young mountain lion, hungry mountain lion
n02125311	painter	[lemma] is *_VERB: painter is concerned, painter is bound, painter is obliged, painter is employed, painter is required, painter is represented, painter is supposed, painter is confined	[lemma] was *_VERB: painter was working, painter was desired, painter was employed, painter was sent, painter was called, painter was astonished, painter was engaged, painter was cast, painter was born, painter was obliged	*_NOUN [lemma]: house painter, sign painter, landscape painter, scene painter, master painter, court painter, fresco painter, figure painter, portrait painter, history painter	[lemma] *: painter is, painter and, painter of, painter or, painter was, painter &#39;s, painter has, painter to, painter in, painter who	[lemma] in the *: painter in the city, painter in the time, painter in the country, painter in the service, painter in the town, painter in the kingdom, painter in the manner, painter in the reign	* [lemma]: this painter, great painter, young painter, landscape painter, A painter, a painter, The painter, portrait painter, the painter, and painter	*_ADJ [lemma]: miniature painter, other painter, English painter, good painter, great painter, young painter, celebrated painter, French painter, historical painter, Italian painter
n02125311	panther	[lemma] is *_VERB: panther is driving, panther is known	[lemma] was *_VERB: panther was killed, panther was lying, panther was let, panther was gone, panther was shot, panther was heard	*_NOUN [lemma]: mountain panther, imitation panther, hunting panther, water panther, coward panther, word panther, mother panther, baby panther, Florida panther, name panther	[lemma] *: panther of, panther is, panther had, panther and, panther &#39;s, panther was, panther or, panther to, panther skin, panther in	[lemma] in the *: panther in the dark, panther in the woods, panther in the chase, panther in the wild, panther in the night, panther in the forest, panther in the wilderness, panther in the act, panther in the jungle	* [lemma]: A panther, a panther, young panther, large panther, The panther, and panther, black panther, or panther, of panther, the panther	*_ADJ [lemma]: small panther, young panther, large panther, caged panther, American panther, spotted panther, male panther, black panther, huge panther, female panther
n02125311	Felis concolor	[lemma] is *_VERB: 	[lemma] was *_VERB: 	*_NOUN [lemma]: Panther Felis concolor, panther Felis concolor, cougar Felis concolor, puma Felis concolor, Cougar Felis concolor, Puma Felis concolor, Lion Felis concolor, lion Felis concolor	[lemma] *: Felis concolor L., Felis concolor couguar, Felis concolor Linnaeus, Felis concolor and, Felis concolor _, Felis concolor Felis, Felis concolor is, Felis concolor coryi, Felis concolor Lynx, Felis concolor cougar	[lemma] in the *: 	* [lemma]: and Felis concolor, Cougar Felis concolor, is Felis concolor, puma Felis concolor, _ Felis concolor, of Felis concolor, as Felis concolor, Puma Felis concolor, the Felis concolor, lion Felis concolor	*_ADJ [lemma]: 
n04335435	streetcar	[lemma] is *_VERB: 	[lemma] was *_VERB: streetcar was approaching, streetcar was moving, streetcar was crowded, streetcar was coming, streetcar was introduced, streetcar was stopped, streetcar was passing, streetcar was going	*_NOUN [lemma]: women streetcar, Electric streetcar, city streetcar, City streetcar, York streetcar, Philadelphia streetcar, Charles streetcar, Chicago streetcar, Crow streetcar, Avenue streetcar	[lemma] *: streetcar to, streetcar conductor, streetcar company, streetcar lines, streetcar or, streetcar line, streetcar system, streetcar in, streetcar tracks, streetcar and	[lemma] in the *: streetcar in the late, streetcar in the city, streetcar in the morning	* [lemma]: The streetcar, electric streetcar, for streetcar, the streetcar, of streetcar, A streetcar, or streetcar, and streetcar, by streetcar, a streetcar	*_ADJ [lemma]: first streetcar, electric streetcar, last streetcar, same streetcar, new streetcar, long streetcar, local streetcar, drawn streetcar, old streetcar, crowded streetcar
