"relevance"	"synsetid"	"queryexpansion"
0.0550505583	"n01496331"	"aerial torpedo"
0.0492075026	"n01496331"	"inch torpedo"
0.0482031659	"n01496331"	"Whitehead torpedo"
0.0433661089	"n01496331"	"Russian torpedo"
0.0416364919	"n01496331"	"Japanese torpedo"
0.034230499	"n01496331"	"German torpedo"
0.0324351786	"n01496331"	"spar torpedo"
0	"n01496331"	
0	"n01496331"	
0.127333762	"n01498041"	"large stingray"
0.1104840018	"n01498041"	"freshwater stingray"
0.0931270132	"n01498041"	"black stingray"
0.0881052514	"n01498041"	"giant stingray"
0.0835525837	"n01498041"	"Southern stingray"
0.0835525837	"n01498041"	"southern stingray"
0.0754218339	"n01498041"	"bat stingray"
0.0706842698	"n01498041"	"spotted stingray"
0.0694613433	"n01498041"	"Atlantic stingray"
0.057339132	"n01498041"	"diamond stingray"
0.0439351957	"n01498041"	"round stingray"
0.2319553837	"n01514668"	"turkey cock"
0.2115087471	"n01514668"	"young cock"
0.2008264419	"n01514668"	"black cock"
0.1883695184	"n01514668"	"white cock"
0.1521565073	"n01514668"	"old cock"
0.1300967654	"n01514668"	"bantam cock"
0.1096613359	"n01514668"	"dunghill cock"
0.0885564963	"n01514668"	"cock in the tube"
0.0882858342	"n01514668"	"cock was found"
0.0813597852	"n01514668"	"cock in the same"
0.0806909325	"n01514668"	"cock in the fable"
0.0797524911	"n01514668"	"jungle cock"
0.0792226178	"n01514668"	"cock was perched"
0.0790005108	"n01514668"	"cock in the pipe"
0.0758875971	"n01514668"	"red cock"
0.0754326532	"n01514668"	"cock in the pit"
0.0736245077	"n01514668"	"cock in the top"
0.0736188596	"n01514668"	"cock in the lower"
0.0729892079	"n01514668"	"cock in the side"
0.0717362948	"n01514668"	"cock was crowing"
0.0715919416	"n01514668"	"cock was placed"
0.0699176329	"n01514668"	"cock in the yard"
0.0694777313	"n01514668"	"cock is attached"
0.0675231026	"n01514668"	"cock in the bottom"
0.0667609548	"n01514668"	"cock was heard"
0.0662493093	"n01514668"	"cock is crowing"
0.0661049561	"n01514668"	"cock is placed"
0.06311309	"n01514668"	"little cock"
0.0609268851	"n01514668"	"stop cock"
0.0605069945	"n01514668"	"first cock"
0.0589114243	"n01514668"	"cock is fixed"
0.0565923058	"n01514668"	"full cock"
0.0533691239	"n01514668"	"cock was turned"
0.0531458406	"n01514668"	"game cock"
0.051411468	"n01514668"	"way cock"
0.0504641504	"n01514668"	"cock is fitted"
0.0485033418	"n01514668"	"cock was closed"
0.0478821384	"n01514668"	"cock is turned"
0.0471984981	"n01514668"	"cock was opened"
0.0460019819	"n01514668"	"fighting cock"
0.0443735205	"n01514668"	"cock was shut"
0.0430163564	"n01514668"	"cock is closed"
0.0423381544	"n01514668"	"brass cock"
0.0418749562	"n01514668"	"cock was used"
0.0417115127	"n01514668"	"cock is opened"
0.040278056	"n01514668"	"drain cock"
0.0388865351	"n01514668"	"cock is shut"
0.0365841555	"n01514668"	"cock is provided"
0.0357038618	"n01514668"	"off cock"
0.0312876952	"n01514668"	"injection cock"
0.22692504	"n01514859"	"turkey hen"
0.1858760407	"n01514859"	"black hen"
0.1644473534	"n01514859"	"guinea hen"
0.1631388726	"n01514859"	"white hen"
0.1485064339	"n01514859"	"mother hen"
0.1374250598	"n01514859"	"domestic hen"
0.1318862401	"n01514859"	"hen in the nest"
0.1220415247	"n01514859"	"hen in the flock"
0.1167025558	"n01514859"	"hen in the barnyard"
0.1151226411	"n01514859"	"prairie hen"
0.1144027972	"n01514859"	"hen was hatching"
0.1127883052	"n01514859"	"old hen"
0.1121074498	"n01514859"	"heath hen"
0.1007172778	"n01514859"	"hen in the coop"
0.0999255155	"n01514859"	"hen was frightened"
0.0962005748	"n01514859"	"fat hen"
0.0926564237	"n01514859"	"small hen"
0.0890297213	"n01514859"	"hen in the act"
0.0887795358	"n01514859"	"hen in the year"
0.0853804442	"n01514859"	"hen was found"
0.083876316	"n01514859"	"hen in the fable"
0.0792272038	"n01514859"	"hen in the forehead"
0.0776733545	"n01514859"	"hen was seen"
0.07600692	"n01514859"	"red hen"
0.0715239377	"n01514859"	"hen was sitting"
0.0685325762	"n01514859"	"hen is brooding"
0.0672856082	"n01514859"	"sitting hen"
0.0667853433	"n01514859"	"hen in the yard"
0.0665107513	"n01514859"	"hen was killed"
0.0649664092	"n01514859"	"hen is starved"
0.0639568786	"n01514859"	"common hen"
0.0636356121	"n01514859"	"hen is sitting"
0.0628440752	"n01514859"	"hen was taken"
0.0622924236	"n01514859"	"little hen"
0.0606701003	"n01514859"	"hen in the midst"
0.0586224258	"n01514859"	"hen is killed"
0.0550924965	"n01514859"	"hen was set"
0.053034142	"n01514859"	"hen was put"
0.0472989235	"n01514859"	"hen is laying"
0.0472041709	"n01514859"	"hen is set"
0.0457407138	"n01514859"	"hen is covering"
0.0438779822	"n01514859"	"hen is kept"
0.0424452757	"n01514859"	"hen was brought"
0.0414877155	"n01514859"	"hen is setting"
0.0404865516	"n01514859"	"hen is induced"
0.022989815	"n01514859"	"setting hen"
0.014930495	"n01514859"	"w hen"
0.014930495	"n01514859"	"W hen"
-0.0067131325	"n01514859"	"V hen"
0.1712180377	"n01518878"	"large ostrich"
0.1318089115	"n01518878"	"male ostrich"
0.1298920243	"n01518878"	"hen ostrich"
0.1167582267	"n01518878"	"white ostrich"
0.1134094053	"n01518878"	"female ostrich"
0.1092584474	"n01518878"	"ostrich in the flowering"
0.1070342895	"n01518878"	"Black ostrich"
0.1070342895	"n01518878"	"black ostrich"
0.106019351	"n01518878"	"ostrich in the wilderness"
0.1047996882	"n01518878"	"ostrich in the desert"
0.1019849483	"n01518878"	"ostrich in the sand"
0.0978483775	"n01518878"	"cock ostrich"
0.0969365631	"n01518878"	"ostrich in the same"
0.0936879796	"n01518878"	"baby ostrich"
0.0909903821	"n01518878"	"ostrich is hunted"
0.0899940015	"n01518878"	"young ostrich"
0.0869097961	"n01518878"	"African ostrich"
0.0826723943	"n01518878"	"dozen ostrich"
0.0741551395	"n01518878"	"ostrich is found"
0.0732176117	"n01518878"	"time ostrich"
0.0690221021	"n01518878"	"fleet ostrich"
0.068775968	"n01518878"	"ostrich was found"
0.0677908605	"n01518878"	"mother ostrich"
0.0657144239	"n01518878"	"ostrich is known"
0.0643734357	"n01518878"	"ostrich is supposed"
0.0635431552	"n01518878"	"great ostrich"
0.0621973546	"n01518878"	"ostrich was seen"
0.0586703924	"n01518878"	"imitation ostrich"
0.0544473755	"n01518878"	"ostrich is called"
0.0528079464	"n01518878"	"American ostrich"
0.0523469414	"n01518878"	"heads ostrich"
0.051651256	"n01518878"	"ostrich is described"
0.0499666182	"n01518878"	"ostrich is said"
0.0451959273	"n01518878"	"Ostrich Struthio camelus"
0.0388764975	"n01518878"	"head ostrich"
0	"n01518878"	"ostrich Struthio camelus"
0	"n01518878"	"ostrich Struthio camelus"
0.0434206516	"n01530575"	"Brambling Fringilla montifringilla"
0.0276812999	"n01530575"	"greater brambling"
0.2006051373	"n01531178"	"hen goldfinch"
0.1590950134	"n01531178"	"cock goldfinch"
0.1491205638	"n01531178"	"goldfinch in the garden"
0.1322985692	"n01531178"	"European goldfinch"
0.1246602891	"n01531178"	"male goldfinch"
0.1162814457	"n01531178"	"little goldfinch"
0.1118176411	"n01531178"	"female goldfinch"
0.1103627223	"n01531178"	"beautiful goldfinch"
0.1101068017	"n01531178"	"Eastern goldfinch"
0.1098095891	"n01531178"	"Arkansas goldfinch"
0.0937200938	"n01531178"	"American goldfinch"
0.0915100422	"n01531178"	"English goldfinch"
0.0853470748	"n01531178"	"Goldfinch Carduelis carduelis"
0.0853470748	"n01531178"	"GOLDFINCH Carduelis carduelis"
0.0853470748	"n01531178"	"Goldfinch Carduelis carduelis"
0.0776959233	"n01531178"	"pretty goldfinch"
0.0765584587	"n01531178"	"young goldfinch"
0.0760220129	"n01531178"	"common goldfinch"
0.196841042	"n01532829"	"hen linnet"
0.1708962861	"n01532829"	"male house finch"
0.166689692	"n01532829"	"female house finch"
0.1630380074	"n01532829"	"common house finch"
0.1536626601	"n01532829"	"cock linnet"
0.1525975239	"n01532829"	"woodland linnet"
0.1419233039	"n01532829"	"brown linnet"
0.1340410899	"n01532829"	"linnet in the bush"
0.1267879965	"n01532829"	"linnet in the Spring"
0.1147338553	"n01532829"	"caged linnet"
0.1117066496	"n01532829"	"little linnet"
0.1096764475	"n01532829"	"linnet in the rocky"
0.0969452276	"n01532829"	"common linnet"
0.095968046	"n01532829"	"Finch Carpodacus mexicanus"
0.095968046	"n01532829"	"FINCH Carpodacus mexicanus"
0.0943471645	"n01532829"	"linnet was trilling"
0.0922074886	"n01532829"	"mountain linnet"
0.0904035102	"n01532829"	"linnet was singing"
0.0897882677	"n01532829"	"dead linnet"
0.0893423626	"n01532829"	"green linnet"
0.0888265309	"n01532829"	"linnet is singing"
0.0861192602	"n01532829"	"California linnet"
0.0787788944	"n01532829"	"captive linnet"
0.0745033325	"n01532829"	"poor linnet"
0.0738749826	"n01532829"	"young linnet"
0	"n01532829"	"grey linnet"
0.1804040997	"n01534433"	"winged junco"
0.1415345154	"n01534433"	"Carolina junco"
0.1379045388	"n01534433"	"white snowbird"
0.1305995313	"n01534433"	"male junco"
0.1226177252	"n01534433"	"colored snowbird"
0.1226177252	"n01534433"	"colored junco"
0.1010274466	"n01534433"	"volcano junco"
0.1004726394	"n01534433"	"common snowbird"
0.1000716686	"n01534433"	"little snowbird"
0.1000716686	"n01534433"	"little junco"
0.0982022372	"n01534433"	"Oregon junco"
0.0814901601	"n01534433"	"eyed junco"
0.0704837893	"n01534433"	"first snowbird"
0.0456594822	"n01534433"	"headed junco"
0.0303410495	"n01534433"	"sided junco"
0.0293497855	"n01534433"	"de junco"
0.0256602555	"n01534433"	"gutted snowbird"
0	"n01534433"	"slatecolored junco"
0	"n01534433"	"coloured junco"
0.129747797	"n01537544"	"male indigo bunting"
0.1261596968	"n01537544"	"female indigo bunting"
0.0594114846	"n01537544"	"BUNTING Passerina cyanea"
0.0594114846	"n01537544"	"Bunting Passerina cyanea"
0	"n01537544"	
0	"n01537544"	
0.1381360711	"n01558993"	"American robin"
0.1043384074	"n01558993"	"robin in the nest"
0.0987098443	"n01558993"	"North American robin"
0.094731051	"n01558993"	"robin in the apple"
0.0929191349	"n01558993"	"robin in the garden"
0.0921245968	"n01558993"	"robin in the tree"
0.0916843217	"n01558993"	"cock robin"
0.0912139018	"n01558993"	"robin in the grass"
0.0894920456	"n01558993"	"robin in the spring"
0.0863752758	"n01558993"	"robin in the hedge"
0.0855091644	"n01558993"	"English robin"
0.0853145512	"n01558993"	"little robin"
0.0849216585	"n01558993"	"baby robin"
0.0831607298	"n01558993"	"robin is thought"
0.0821304896	"n01558993"	"robin in the morning"
0.0816966991	"n01558993"	"robin is singing"
0.0814556247	"n01558993"	"robin in the snow"
0.0810070695	"n01558993"	"robin in the distance"
0.0757063426	"n01558993"	"mother robin"
0.0754134156	"n01558993"	"robin was singing"
0.0752410122	"n01558993"	"robin is found"
0.0741083129	"n01558993"	"robin is seen"
0.0738507521	"n01558993"	"red robin"
0.0735797113	"n01558993"	"young robin"
0.07221086	"n01558993"	"robin was sitting"
0.0717899874	"n01558993"	"robin was perched"
0.0712015524	"n01558993"	"robin is called"
0.0710084264	"n01558993"	"robin is heard"
0.0708436708	"n01558993"	"robin was hopping"
0.0689577288	"n01558993"	"robin was found"
0.0678250294	"n01558993"	"robin was seen"
0.0647251429	"n01558993"	"robin was heard"
0.0642705274	"n01558993"	"golden robin"
0.0613329514	"n01558993"	"robin is brought"
0.0612320087	"n01558993"	"robin is killed"
0.0609658309	"n01558993"	"robin is building"
0.0601915697	"n01558993"	"first robin"
0.0601299429	"n01558993"	"sea robin"
0.0601031978	"n01558993"	"robin was scattered"
0.0594205028	"n01558993"	"poor robin"
0.0563912733	"n01558993"	"robin is plastering"
0.0558010831	"n01558993"	"ROBIN Turdus migratorius"
0.0558010831	"n01558993"	"Robin Turdus migratorius"
0.0548095561	"n01558993"	"wood robin"
0.0546825474	"n01558993"	"robin was building"
0.0528827841	"n01558993"	"ragged robin"
0.0468857342	"n01558993"	"father robin"
0.04484754	"n01558993"	"ground robin"
0.0386098118	"n01558993"	"robin was signed"
0.0362895634	"n01558993"	"round robin"
0.0362895634	"n01558993"	"Round robin"
0.0260845436	"n01558993"	"Wake robin"
0.0260845436	"n01558993"	"wake robin"
0	"n01558993"	"robin Turdus migratorius"
0.0792640452	"n01560419"	"Persian bulbul"
0.0742943444	"n01560419"	"eared bulbul"
0.0725856179	"n01560419"	"little bulbul"
0.0641724976	"n01560419"	"black bulbul"
0.0577224724	"n01560419"	"whiskered bulbul"
0.0529144293	"n01560419"	"common bulbul"
0.0466087499	"n01560419"	"cheeked bulbul"
0.0415442367	"n01560419"	"Indian bulbul"
0.0329538522	"n01560419"	"green bulbul"
0.0305401589	"n01560419"	"vented bulbul"
0.1750628412	"n01580077"	"blue jay"
0.1750628412	"n01580077"	"Blue jay"
0.1675625743	"n01580077"	"crested jay"
0.1624204227	"n01580077"	"gray jay"
0.1478921685	"n01580077"	"jay in the peacock"
0.1443118212	"n01580077"	"jay in the nest"
0.1407612658	"n01580077"	"pinyon jay"
0.1273284768	"n01580077"	"jay in the tree"
0.1219895613	"n01580077"	"jay in the woods"
0.1218747771	"n01580077"	"jay in the whole"
0.1154158066	"n01580077"	"jay in the wood"
0.1059211629	"n01580077"	"noisy jay"
0.1036570676	"n01580077"	"jay in the fable"
0.102311269	"n01580077"	"Siberian jay"
0.0988414458	"n01580077"	"jay in the act"
0.098762389	"n01580077"	"jay was seen"
0.0917696618	"n01580077"	"jay is found"
0.0883095654	"n01580077"	"jay was going"
0.0874474041	"n01580077"	"pinon jay"
0.0841750063	"n01580077"	"jay is heard"
0.0833259897	"n01580077"	"common jay"
0.0771550265	"n01580077"	"Mountain jay"
0.0770660423	"n01580077"	"jay is calling"
0.0760555999	"n01580077"	"John jay"
0.0704885672	"n01580077"	"scrub jay"
0.0699996908	"n01580077"	"Oregon jay"
0.0604136012	"n01580077"	"Canada jay"
0.0598860069	"n01580077"	"California jay"
0.0569075701	"n01580077"	"Florida jay"
0.0490572151	"n01580077"	"old jay"
0.0280161259	"n01580077"	"San jay"
0.027293833	"n01580077"	"que jay"
0	"n01580077"	"thievish jay"
0.1592054529	"n01582220"	"magpie in the sky"
0.1582252497	"n01582220"	"magpie in the street"
0.1351188302	"n01582220"	"little magpie"
0.1157612305	"n01582220"	"own magpie"
0.1052036798	"n01582220"	"magpie was standing"
0.1041231089	"n01582220"	"magpie is seen"
0.103937231	"n01582220"	"young magpie"
0.1037946707	"n01582220"	"magpie is found"
0.103744374	"n01582220"	"single magpie"
0.1015224771	"n01582220"	"baby magpie"
0.0960336691	"n01582220"	"magpie was said"
0.0943591945	"n01582220"	"magpie was perched"
0.0923483717	"n01582220"	"common magpie"
0.092264856	"n01582220"	"tame magpie"
0.0902269632	"n01582220"	"magpie is regarded"
0.0635270009	"n01582220"	"old magpie"
0.0406113448	"n01582220"	"American magpie"
0.0345931311	"n01582220"	"English magpie"
0.0246290558	"n01582220"	"Australian magpie"
0.1286094329	"n01592084"	"Carolina chickadee"
0.1104136838	"n01592084"	"little chickadee"
0.1009390469	"n01592084"	"boreal chickadee"
0.0821558622	"n01592084"	"common chickadee"
0.0786124815	"n01592084"	"single chickadee"
0.0765466975	"n01592084"	"Mountain chickadee"
0.0765466975	"n01592084"	"mountain chickadee"
0.0466405608	"n01592084"	"tailed chickadee"
0.0287092091	"n01592084"	"chickadee was calling"
0.0221464079	"n01592084"	"backed chickadee"
0.0178801705	"n01592084"	"familiar chickadee"
0.0079137739	"n01592084"	"capped chickadee"
0	"n01592084"	"blackcapped chickadee"
0	"n01592084"	"Hudsonian chickadee"
0.1581167416	"n01601694"	"dipper in the other"
0.1479482099	"n01601694"	"dipper in the water"
0.1437495836	"n01601694"	"dipper in the bucket"
0.1430989824	"n01601694"	"dipper in the sky"
0.1419428377	"n01601694"	"dipper in the pail"
0.126599297	"n01601694"	"small dipper"
0.1206412546	"n01601694"	"large dipper"
0.1136611042	"n01601694"	"little dipper"
0.1079831387	"n01601694"	"big dipper"
0.1009108263	"n01601694"	"water dipper"
0.1001423778	"n01601694"	"dipper is attached"
0.0977767003	"n01601694"	"dipper is filled"
0.0969942315	"n01601694"	"wooden dipper"
0.0939836545	"n01601694"	"dipper is used"
0.0936150337	"n01601694"	"dipper is placed"
0.0928515443	"n01601694"	"dipper was filled"
0.0907203805	"n01601694"	"dipper is loading"
0.0890584985	"n01601694"	"dipper was used"
0.0877689325	"n01601694"	"dipper is lowered"
0.0869303926	"n01601694"	"dipper is made"
0.0852518414	"n01601694"	"dipper is provided"
0.0833529849	"n01601694"	"dipper is raised"
0.0831916635	"n01601694"	"great dipper"
0.0769737985	"n01601694"	"dipper was scratched"
0.0747350999	"n01601694"	"common dipper"
0.0729553379	"n01601694"	"glass dipper"
0.072323185	"n01601694"	"gourd dipper"
0.0715239769	"n01601694"	"little water ouzel"
0.0687327743	"n01601694"	"shovel dipper"
0.0642951783	"n01601694"	"tin dipper"
0.0600895753	"n01601694"	"yard dipper"
0.0600895753	"n01601694"	"yard dipper"
0.0577920088	"n01601694"	"milk dipper"
0.0551796708	"n01601694"	"iron dipper"
0.0510588666	"n01601694"	"cream dipper"
0.0428685539	"n01601694"	"handled dipper"
0.0376935952	"n01601694"	"American dipper"
0	"n01601694"	"Chapin dipper"
0.2022852022	"n01608432"	"carrion kite"
0.1702912032	"n01608432"	"dragon kite"
0.1319242559	"n01608432"	"kite in the sky"
0.1283291944	"n01608432"	"kite in the park"
0.1259328183	"n01608432"	"kite in the wind"
0.1257261392	"n01608432"	"kite in the air"
0.1254693562	"n01608432"	"kite was flying"
0.125235495	"n01608432"	"kite is flying"
0.1177876548	"n01608432"	"large kite"
0.1155283044	"n01608432"	"kite in the shape"
0.114567571	"n01608432"	"kite in the rain"
0.1127753402	"n01608432"	"kite in the form"
0.1074424453	"n01608432"	"enemy kite"
0.1062456445	"n01608432"	"kite in the street"
0.1058689177	"n01608432"	"big kite"
0.1047476379	"n01608432"	"kite in the midst"
0.1034059712	"n01608432"	"tailed kite"
0.1003076382	"n01608432"	"kite in the direction"
0.096496168	"n01608432"	"kite is hovering"
0.0960102784	"n01608432"	"kite was found"
0.0956405977	"n01608432"	"kite was flown"
0.0954067365	"n01608432"	"kite is flown"
0.0948377221	"n01608432"	"common kite"
0.0942653601	"n01608432"	"kite is attached"
0.0931700933	"n01608432"	"kite is seen"
0.093156142	"n01608432"	"red kite"
0.0916487508	"n01608432"	"Mississippi kite"
0.0915775055	"n01608432"	"black kite"
0.0838274497	"n01608432"	"kite was raised"
0.0835935885	"n01608432"	"kite is raised"
0.0821431523	"n01608432"	"kite was made"
0.0819092911	"n01608432"	"kite is made"
0.0817971431	"n01608432"	"kite was fastened"
0.0816340819	"n01608432"	"famous kite"
0.0789013541	"n01608432"	"paper kite"
0.0779657806	"n01608432"	"kite was used"
0.077914848	"n01608432"	"felon kite"
0.0764833511	"n01608432"	"kite was brought"
0.0714514255	"n01608432"	"new kite"
0.071349065	"n01608432"	"electrical kite"
0.0711427302	"n01608432"	"box kite"
0.067531363	"n01608432"	"kite was sent"
0.0638494207	"n01608432"	"kite is supported"
0.0633716763	"n01608432"	"silk kite"
0.0613513173	"n01608432"	"kite was held"
0.0611174561	"n01608432"	"kite is held"
0.0599459084	"n01608432"	"electric kite"
0.0524029193	"n01608432"	"kite is employed"
0	"n01608432"	"Everglade kite"
0	"n01608432"	"lazar kite"
0.133875935	"n01614925"	"North American eagle"
0.1172821719	"n01614925"	"northern bald eagle"
0.11643088	"n01614925"	"Southern bald eagle"
0.11643088	"n01614925"	"southern bald eagle"
0.1156917396	"n01614925"	"American eagle in the center"
0.1137786909	"n01614925"	"large American eagle"
0.112314349	"n01614925"	"live American eagle"
0.1112743504	"n01614925"	"American bald eagle"
0.1111356383	"n01614925"	"bald eagle in the United"
0.1083560364	"n01614925"	"golden American eagle"
0.1074053255	"n01614925"	"large bald eagle"
0.1073386086	"n01614925"	"huge American eagle"
0.1071196369	"n01614925"	"gold American eagle"
0.1063182291	"n01614925"	"glorious American eagle"
0.1037845807	"n01614925"	"great American eagle"
0.1030823953	"n01614925"	"headed American eagle"
0.102331892	"n01614925"	"young bald eagle"
0.1022964065	"n01614925"	"old American eagle"
0.1011487344	"n01614925"	"adult bald eagle"
0.0998704584	"n01614925"	"winter bald eagle"
0.0974112154	"n01614925"	"great bald eagle"
0.0970848286	"n01614925"	"immature bald eagle"
0.0959230411	"n01614925"	"old bald eagle"
0.0942131228	"n01614925"	"fierce bald eagle"
0.046444483	"n01614925"	"eagle Haliaeetus leucocephalus"
0.046444483	"n01614925"	"EAGLE Haliaeetus leucocephalus"
0.046444483	"n01614925"	"Eagle Haliaeetus leucocephalus"
0.046444483	"n01614925"	"eagle Haliaeetus leucocephalus"
0.1344911136	"n01616318"	"carrion vulture"
0.1183516574	"n01616318"	"vulture in the mountains"
0.1171554569	"n01616318"	"vulture in the sky"
0.1145094431	"n01616318"	"vulture in the air"
0.1100055895	"n01616318"	"large vulture"
0.1009594908	"n01616318"	"hungry vulture"
0.0891348074	"n01616318"	"Turkey vulture"
0.0891348074	"n01616318"	"turkey vulture"
