n02268443	dragonfly	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: adult dragonfly, blue dragonfly, giant dragonfly, green dragonfly, large dragonfly, male dragonfly, red dragonfly, small dragonfly, winged dragonfly, young dragonfly	[lemma] in the *: 	*_NOUN [lemma]: adult dragonfly, darner dragonfly, emerald dragonfly, hawker dragonfly, skimmer dragonfly, zone dragonfly
n03977966	wagon	[lemma] was *_VERB: wagon was drawn, wagon was driven, wagon was going, wagon was loaded, wagon was standing	[lemma] is *_VERB: wagon is brought, wagon is coming, wagon is drawn, wagon is driven, wagon is going, wagon is loaded, wagon is moving	*_ADJ [lemma]: covered wagon, express wagon, first wagon, good wagon, heavy wagon, horse wagon, light wagon, little wagon, loaded wagon, old wagon	[lemma] in the *: wagon in the country, wagon in the morning, wagon in the place, wagon in the rear, wagon in the road, wagon in the street, wagon in the train, wagon in the yard	*_NOUN [lemma]: band wagon, chuck wagon, delivery wagon, farm wagon, lumber wagon, milk wagon, patrol wagon, spring wagon, station wagon, tank wagon
n03977966	black Maria	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02747177	ashcan	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: nearest ashcan	[lemma] in the *: 	*_NOUN [lemma]: 
n02747177	trash can	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: big trash can, empty trash can, freedom trash can, large trash can, metal trash can, nearby trash can, nearest trash can, overflowing trash can, plastic trash can, such trash can	[lemma] in the *: trash can in the alley, trash can in the bathroom, trash can in the garage, trash can in the kitchen	*_NOUN [lemma]: Macintosh trash can, aluminum trash can, bathroom trash can, city trash can, corner trash can, household trash can, kitchen trash can, steel trash can, tin trash can, wire trash can
n02747177	garbage can	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: big garbage can, empty garbage can, human garbage can, large garbage can, metal garbage can, nearest garbage can, old garbage can, open garbage can, plastic garbage can, small garbage can	[lemma] in the *: garbage can in the alley, garbage can in the back, garbage can in the garage, garbage can in the kitchen	*_NOUN [lemma]: aluminum garbage can, city garbage can, family garbage can, gallon garbage can, household garbage can, iron garbage can, kitchen garbage can, steel garbage can, tin garbage can, wire garbage can
n02747177	wastebin	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02747177	ash bin	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02747177	ash-bin	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02747177	ashbin	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02747177	dustbin	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: domestic dustbin, historical dustbin, large dustbin, metal dustbin, new dustbin, old dustbin, ordinary dustbin, own dustbin, plastic dustbin, sanitary dustbin	[lemma] in the *: 	*_NOUN [lemma]: household dustbin, iron dustbin
n02747177	trash barrel	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: big trash barrel, green trash barrel, large trash barrel, metal trash barrel, nearby trash barrel, nearest trash barrel, overflowing trash barrel, plastic trash barrel	[lemma] in the *: 	*_NOUN [lemma]: 
n02747177	trash bin	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: big trash bin, huge trash bin, large trash bin, metal trash bin, nearby trash bin, nearest trash bin, overflowing trash bin, plastic trash bin	[lemma] in the *: 	*_NOUN [lemma]: kitchen trash bin, wire trash bin
n02814533	beach wagon	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02814533	station wagon	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Buick station wagon, battered station wagon, big station wagon, blue station wagon, compact station wagon, green station wagon, new station wagon, old station wagon, red station wagon, white station wagon	[lemma] in the *: station wagon in the drive, station wagon in the driveway, station wagon in the garage, station wagon in the parking	*_NOUN [lemma]: Chevrolet station wagon, Chevy station wagon, Ford station wagon, Mercury station wagon, Plymouth station wagon, Pontiac station wagon, Rambler station wagon, Volvo station wagon, family station wagon, jeep station wagon
n02814533	wagon	[lemma] was *_VERB: wagon was drawn, wagon was driven, wagon was going, wagon was loaded, wagon was standing	[lemma] is *_VERB: wagon is brought, wagon is coming, wagon is drawn, wagon is driven, wagon is going, wagon is loaded, wagon is moving	*_ADJ [lemma]: covered wagon, express wagon, first wagon, good wagon, heavy wagon, horse wagon, light wagon, little wagon, loaded wagon, old wagon	[lemma] in the *: wagon in the country, wagon in the morning, wagon in the place, wagon in the rear, wagon in the road, wagon in the street, wagon in the train, wagon in the yard	*_NOUN [lemma]: band wagon, chuck wagon, delivery wagon, farm wagon, lumber wagon, milk wagon, patrol wagon, spring wagon, station wagon, tank wagon
n02814533	estate car	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: battered estate car, big estate car, blue estate car, green estate car, large estate car, old estate car, small estate car	[lemma] in the *: 	*_NOUN [lemma]: Ford estate car, Peugeot estate car, Volvo estate car, family estate car
n02814533	beach waggon	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02814533	station waggon	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02814533	waggon	[lemma] was *_VERB: waggon was broken, waggon was covered, waggon was drawn, waggon was loaded, waggon was overturned, waggon was passing, waggon was standing, waggon was upset	[lemma] is *_VERB: waggon is drawn, waggon is going, waggon is gone, waggon is loaded, waggon is prepar&#39;d, waggon is put, waggon is sent	*_ADJ [lemma]: covered waggon, empty waggon, first waggon, heavy waggon, large waggon, light waggon, loaded waggon, old waggon, such waggon, wheeled waggon	[lemma] in the *: waggon in the afternoon, waggon in the distance, waggon in the highway, waggon in the road, waggon in the street, waggon in the yard	*_NOUN [lemma]: ambulance waggon, ammunition waggon, baggage waggon, farm waggon, horse waggon, ox waggon, railway waggon, spring waggon, stage waggon, travelling waggon
n04467665	trailer truck	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: big trailer truck, flatbed trailer truck, foot trailer truck, huge trailer truck, large trailer truck, ton trailer truck	[lemma] in the *: 	*_NOUN [lemma]: tractor trailer truck, wheel trailer truck
n04467665	tractor trailer	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: big tractor trailer, double tractor trailer, foot tractor trailer, huge tractor trailer, jackknifed tractor trailer, large tractor trailer, overturned tractor trailer, semi tractor trailer	[lemma] in the *: 	*_NOUN [lemma]: wheel tractor trailer
n04467665	trucking rig	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n04467665	rig	[lemma] was *_VERB: rig was altered, rig was changed, rig was designed, rig was developed, rig was moved	[lemma] is *_VERB: rig is designed, rig is equipped, rig is mounted, rig is moved, rig is required, rig is set	*_ADJ [lemma]: aft rig, full rig, lateen rig, new rig, rotary rig, same rig, schooner rig, square rig, standard rig, whole rig	[lemma] in the *: rig in the Gulf, rig in the North, rig in the area, rig in the bowsprit, rig in the chimney, rig in the hope, rig in the water	*_NOUN [lemma]: cutter rig, drill rig, drilling rig, head rig, jury rig, livery rig, oil rig, sloop rig, spray rig, test rig
n04467665	articulated lorry	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: huge articulated lorry, large articulated lorry	[lemma] in the *: 	*_NOUN [lemma]: 
n04467665	semi	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: apparent semi, great semi, large semi, least semi, many semi, only semi, other semi, payable semi, small semi, such semi	[lemma] in the *: semi in the suburbs	*_NOUN [lemma]: Shell semi, centrum semi, feet semi, interest semi, iron semi, others semi, part semi, something semi, term semi, time semi
n01984695	spiny lobster	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Caribbean spiny lobster, Hawaiian spiny lobster, Indian spiny lobster, Japanese spiny lobster, juvenile spiny lobster, large spiny lobster, local spiny lobster	[lemma] in the *: 	*_NOUN [lemma]: Bermuda spiny lobster, California spiny lobster, Florida spiny lobster
n01984695	langouste	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: French langouste, cold langouste, de langouste, local langouste	[lemma] in the *: 	*_NOUN [lemma]: 
n01984695	rock lobster	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: African rock lobster, Australian rock lobster, Western rock lobster, female rock lobster, frozen rock lobster, red rock lobster, southern rock lobster, spiny rock lobster, tropical rock lobster, western rock lobster	[lemma] in the *: 	*_NOUN [lemma]: Cape rock lobster, Zealand rock lobster, coast rock lobster
n01984695	crawfish	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: blind crawfish, boiled crawfish, common crawfish, large crawfish, live crawfish, many crawfish, red crawfish, small crawfish, water crawfish, young crawfish	[lemma] in the *: crawfish in the water	*_NOUN [lemma]: Cape crawfish, Louisiana crawfish, pound crawfish, pounds crawfish, river crawfish, sea crawfish
n01984695	crayfish	[lemma] was *_VERB: 	[lemma] is *_VERB: crayfish is divided, crayfish is hatched, crayfish is held	*_ADJ [lemma]: English crayfish, blind crayfish, common crayfish, female crayfish, freshwater crayfish, large crayfish, little crayfish, small crayfish, water crayfish, young crayfish	[lemma] in the *: crayfish in the brook, crayfish in the creek, crayfish in the river, crayfish in the stream, crayfish in the streams, crayfish in the water	*_NOUN [lemma]: Murray crayfish, River crayfish, baby crayfish, cave crayfish, dozen crayfish, dwarf crayfish, mother crayfish, river crayfish, sea crayfish, water crayfish
n01984695	sea crawfish	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02125311	cougar	[lemma] was *_VERB: cougar was killed, cougar was shot, cougar was treed	[lemma] is *_VERB: 	*_ADJ [lemma]: American cougar, Mexican cougar, big cougar, eastern cougar, female cougar, large cougar, male cougar, occasional cougar, old cougar, young cougar	[lemma] in the *: cougar in the wild	*_NOUN [lemma]: Florida cougar, Texas cougar, baby cougar, mother cougar, mountain cougar, pet cougar
n02125311	puma	[lemma] was *_VERB: puma was cramped, puma was resting	[lemma] is *_VERB: 	*_ADJ [lemma]: American puma, black puma, female puma, huge puma, large puma, male puma, red puma, tame puma, tawny puma, young puma	[lemma] in the *: 	*_NOUN [lemma]: Florida puma, Surrey puma, baby puma, mother puma, mountain puma, stone puma, word puma
n02125311	catamount	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: big catamount, huge catamount, large catamount, little catamount, old catamount, stuffed catamount, young catamount	[lemma] in the *: 	*_NOUN [lemma]: 
n02125311	mountain lion	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: American mountain lion, big mountain lion, female mountain lion, grown mountain lion, huge mountain lion, hungry mountain lion, large mountain lion, occasional mountain lion, tawny mountain lion, young mountain lion	[lemma] in the *: mountain lion in the wild	*_NOUN [lemma]: California mountain lion, baby mountain lion, mother mountain lion
n02125311	painter	[lemma] was *_VERB: painter was astonished, painter was born, painter was called, painter was cast, painter was desired, painter was employed, painter was engaged, painter was obliged, painter was sent, painter was working	[lemma] is *_VERB: painter is bound, painter is concerned, painter is confined, painter is employed, painter is obliged, painter is represented, painter is required, painter is supposed	*_ADJ [lemma]: English painter, French painter, Italian painter, celebrated painter, good painter, great painter, historical painter, miniature painter, other painter, young painter	[lemma] in the *: painter in the city, painter in the country, painter in the kingdom, painter in the manner, painter in the reign, painter in the service, painter in the time, painter in the town	*_NOUN [lemma]: court painter, figure painter, fresco painter, history painter, house painter, landscape painter, master painter, portrait painter, scene painter, sign painter
n02125311	panther	[lemma] was *_VERB: panther was gone, panther was heard, panther was killed, panther was let, panther was lying, panther was shot	[lemma] is *_VERB: panther is driving, panther is known	*_ADJ [lemma]: American panther, black panther, caged panther, female panther, huge panther, large panther, male panther, small panther, spotted panther, young panther	[lemma] in the *: panther in the act, panther in the chase, panther in the dark, panther in the forest, panther in the jungle, panther in the night, panther in the wild, panther in the wilderness, panther in the woods	*_NOUN [lemma]: Florida panther, baby panther, coward panther, hunting panther, imitation panther, mother panther, mountain panther, name panther, water panther, word panther
n02125311	Felis concolor	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: Cougar Felis concolor, Lion Felis concolor, Panther Felis concolor, Puma Felis concolor, cougar Felis concolor, lion Felis concolor, panther Felis concolor, puma Felis concolor
n04335435	streetcar	[lemma] was *_VERB: streetcar was approaching, streetcar was coming, streetcar was crowded, streetcar was going, streetcar was introduced, streetcar was moving, streetcar was passing, streetcar was stopped	[lemma] is *_VERB: 	*_ADJ [lemma]: crowded streetcar, drawn streetcar, electric streetcar, first streetcar, last streetcar, local streetcar, long streetcar, new streetcar, old streetcar, same streetcar	[lemma] in the *: streetcar in the city, streetcar in the late, streetcar in the morning	*_NOUN [lemma]: Avenue streetcar, Charles streetcar, Chicago streetcar, City streetcar, Crow streetcar, Electric streetcar, Philadelphia streetcar, York streetcar, city streetcar, women streetcar
n04335435	tram	[lemma] was *_VERB: tram was approaching, tram was coming, tram was crowded, tram was going, tram was heard, tram was packed, tram was passing, tram was running, tram was waiting	[lemma] is *_VERB: tram is coming, tram is going	*_ADJ [lemma]: aerial tram, crowded tram, drawn tram, electric tram, first tram, last tram, little tram, long tram, new tram, old tram	[lemma] in the *: tram in the city, tram in the direction, tram in the morning	*_NOUN [lemma]: Bar tram, Electric tram, Gun tram, London tram, cable tram, horse tram, iron tram, penny tram, steam tram
n04335435	tramcar	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: crowded tramcar, drawn tramcar, electric tramcar, first tramcar, last tramcar, modern tramcar, municipal tramcar, old tramcar, open tramcar, ordinary tramcar	[lemma] in the *: 	*_NOUN [lemma]: Dublin tramcar, Glasgow tramcar, Shore tramcar, horse tramcar, steam tramcar, ward tramcar
n04335435	trolley	[lemma] was *_VERB: trolley was coming, trolley was going, trolley was pushed, trolley was running, trolley was waiting, trolley was wheeled	[lemma] is *_VERB: trolley is mounted, trolley is moved, trolley is provided, trolley is pulled, trolley is pushed, trolley is run, trolley is taken	*_ADJ [lemma]: double trolley, electric trolley, first trolley, interurban trolley, little trolley, new trolley, overhead trolley, single trolley, small trolley, trackless trolley	[lemma] in the *: trolley in the corridor, trolley in the direction, trolley in the morning, trolley in the supermarket	*_NOUN [lemma]: Avenue trolley, Electric trolley, Street trolley, city trolley, copper trolley, crane trolley, luggage trolley, motor trolley, railway trolley, tea trolley
n04335435	trolley car	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: crowded trolley car, electric trolley car, first trolley car, interurban trolley car, little trolley car, modern trolley car, old trolley car, open trolley car, ordinary trolley car, special trolley car	[lemma] in the *: 	*_NOUN [lemma]: Avenue trolley car, Brooklyn trolley car, Electric trolley car, Francisco trolley car, Street trolley car, crosstown trolley car
n02894605	breakwater	[lemma] was *_VERB: breakwater was begun, breakwater was carried, breakwater was commenced, breakwater was completed, breakwater was constructed, breakwater was erected, breakwater was extended, breakwater was formed	[lemma] is *_VERB: breakwater is built, breakwater is completed, breakwater is composed, breakwater is constructed, breakwater is covered, breakwater is formed, breakwater is intended	*_ADJ [lemma]: detached breakwater, floating breakwater, great breakwater, long breakwater, natural breakwater, new breakwater, northern breakwater, outer breakwater, west breakwater, western breakwater	[lemma] in the *: breakwater in the Andamans, breakwater in the Delaware, breakwater in the bay, breakwater in the harbor, breakwater in the harbour, breakwater in the lake	*_NOUN [lemma]: Alderney breakwater, Cherbourg breakwater, Delaware breakwater, Plymouth breakwater, Portland breakwater, granite breakwater, harbor breakwater, mound breakwater, offshore breakwater, stone breakwater
n02894605	groin	[lemma] was *_VERB: groin was constructed, groin was throbbing	[lemma] is *_VERB: groin is affected, groin is covered, groin is exposed, groin is involved, groin is shaved, groin is taken	*_ADJ [lemma]: anterior groin, bilateral groin, domed groin, free groin, left groin, opposite groin, other groin, posterior groin, right groin, varicose groin	[lemma] in the *: 	*_NOUN [lemma]: brick groin, offer groin, pedicle groin, rock groin, stone groin, timber groin
n02894605	groyne	[lemma] was *_VERB: groyne was constructed	[lemma] is *_VERB: 	*_ADJ [lemma]: concrete groyne, large groyne, last groyne, long groyne, natural groyne, new groyne, single groyne, terminal groyne, wooden groyne	[lemma] in the *: 	*_NOUN [lemma]: rock groyne, stone groyne, timber groyne
n02894605	mole	[lemma] was *_VERB: mole was carried, mole was commenced, mole was completed, mole was constructed, mole was expelled, mole was formed, mole was obtained	[lemma] is *_VERB: mole is built, mole is constructed, mole is defined, mole is expelled, mole is formed, mole is given, mole is obtained	*_ADJ [lemma]: Hydatidiform mole, blind mole, common mole, kcal mole, large mole, little mole, new mole, old mole, per mole, small mole	[lemma] in the *: mole in the case, mole in the dark, mole in the darkness, mole in the earth, mole in the ground, mole in the harbour, mole in the sea, mole in the shape	*_NOUN [lemma]: g mole, gram mole, hydatid mole, hydatidiform mole, hydatiform mole, kcal mole, phase mole, pound mole, stone mole, water mole
n02894605	bulwark	[lemma] was *_VERB: bulwark was destroyed, bulwark was erected, bulwark was gone, bulwark was needed, bulwark was raised, bulwark was razed, bulwark was removed	[lemma] is *_VERB: bulwark is destroyed, bulwark is formed, bulwark is gone, bulwark is set	*_ADJ [lemma]: chief bulwark, great bulwark, impregnable bulwark, last bulwark, main bulwark, natural bulwark, only bulwark, principal bulwark, strong bulwark, strongest bulwark	[lemma] in the *: bulwark in the East, bulwark in the course, bulwark in the defense, bulwark in the east, bulwark in the fight, bulwark in the midst, bulwark in the soul, bulwark in the struggle, bulwark in the way	*_NOUN [lemma]: Netherland bulwark, frontier bulwark, iron bulwark, lee bulwark, living bulwark, mountain bulwark, paper bulwark, seaward bulwark, stone bulwark, weather bulwark
n02894605	seawall	[lemma] was *_VERB: seawall was completed, seawall was constructed	[lemma] is *_VERB: seawall is built	*_ADJ [lemma]: ancient seawall, concrete seawall, foot seawall, great seawall, high seawall, long seawall, low seawall, massive seawall, new seawall, old seawall	[lemma] in the *: 	*_NOUN [lemma]: Beach seawall, Galveston seawall, Park seawall, granite seawall, harbor seawall, log seawall, masonry seawall, rock seawall, stone seawall, type seawall
n02894605	jetty	[lemma] was *_VERB: jetty was completed, jetty was constructed, jetty was crowded, jetty was deserted, jetty was erected, jetty was extended	[lemma] is *_VERB: jetty is built, jetty is constructed, jetty is located	*_ADJ [lemma]: east jetty, little jetty, long jetty, new jetty, north jetty, old jetty, small jetty, south jetty, west jetty, wooden jetty	[lemma] in the *: jetty in the dead, jetty in the foreground, jetty in the harbor, jetty in the harbour, jetty in the port, jetty in the river	*_NOUN [lemma]: boat jetty, coaling jetty, customs jetty, hair jetty, iron jetty, landing jetty, oil jetty, rock jetty, stone jetty, timber jetty
n03065424	coil	[lemma] was *_VERB: coil was connected, coil was determined, coil was measured, coil was moved, coil was turned, coil was wound	[lemma] is *_VERB: coil is connected, coil is energized, coil is mounted, coil is moved, coil is suspended, coil is wound	*_ADJ [lemma]: current coil, first coil, mortal coil, movable coil, other coil, primary coil, second coil, secondary coil, single coil, small coil	[lemma] in the *: coil in the armature, coil in the bottom, coil in the circuit, coil in the direction, coil in the field, coil in the furnace, coil in the magnetic, coil in the opposite, coil in the plate	*_NOUN [lemma]: armature coil, cooling coil, field coil, heating coil, induction coil, resistance coil, search coil, spark coil, voice coil, wire coil
n03065424	spiral	[lemma] was *_VERB: spiral was connected, spiral was cut, spiral was formed, spiral was heated, spiral was reduced	[lemma] is *_VERB: spiral is connected, spiral is fixed, spiral is formed, spiral is heated, spiral is wound	*_ADJ [lemma]: continuous spiral, double spiral, downward spiral, fine spiral, flat spiral, inflationary spiral, logarithmic spiral, long spiral, small spiral, upward spiral	[lemma] in the *: spiral in the arms, spiral in the cost, spiral in the manner, spiral in the opposite, spiral in the upper	*_NOUN [lemma]: Cornu spiral, Ekman spiral, Shell spiral, copper spiral, inflation spiral, iron spiral, plane spiral, platinum spiral, price spiral, wire spiral
n03065424	volute	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: Ionic volute, angular volute, beautiful volute, double volute, e volute, large volute, re volute, simple volute, small volute, spiral volute	[lemma] in the *: 	*_NOUN [lemma]: E volute, angle volute, casing volute, corner volute, discharge volute, figure volute, pump volute, stage volute, suction volute
n03065424	whorl	[lemma] was *_VERB: 	[lemma] is *_VERB: whorl is composed, whorl is covered, whorl is flattened, whorl is formed, whorl is marked, whorl is ornamented, whorl is produced, whorl is rounded	*_ADJ [lemma]: final whorl, first whorl, inner whorl, last whorl, lower whorl, outer whorl, penultimate whorl, second whorl, single whorl, third whorl	[lemma] in the *: whorl in the adult	*_NOUN [lemma]: Spindle whorl, body whorl, bone whorl, branch whorl, clay whorl, hair whorl, leaf whorl, spindle whorl, stamen whorl, stone whorl
n03065424	helix	[lemma] was *_VERB: helix was constructed, helix was covered, helix was formed, helix was observed, helix was removed, helix was wound	[lemma] is *_VERB: helix is composed, helix is connected, helix is formed, helix is given, helix is wound	*_ADJ [lemma]: Hedera helix, cylindrical helix, double helix, hand helix, handed helix, inner helix, long helix, outer helix, second helix, triple helix	[lemma] in the *: helix in the case, helix in the direction, helix in the line, helix in the opposite, helix in the presence, helix in the protein, helix in the region	*_NOUN [lemma]: DNA helix, H. helix, Hedera helix, alpha helix, compound helix, copper helix, magnetizing helix, sheath helix, tooth helix, wire helix
n02966193	carousel	[lemma] was *_VERB: carousel was turning	[lemma] is *_VERB: 	*_ADJ [lemma]: antique carousel, fashioned carousel, first carousel, little carousel, old carousel, revolving carousel, rotating carousel, small carousel, whirling carousel, wooden carousel	[lemma] in the *: carousel in the country, carousel in the park	*_NOUN [lemma]: Dentzel carousel, Kodak carousel, Park carousel, baggage carousel, kitten carousel, luggage carousel, park carousel, sample carousel, slide carousel, toy carousel
n02966193	carrousel	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: famous carrousel, great carrousel, old carrousel, un carrousel	[lemma] in the *: 	*_NOUN [lemma]: baggage carrousel, luggage carrousel
n02966193	merry-go-round	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: 	[lemma] in the *: 	*_NOUN [lemma]: 
n02966193	roundabout	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: blue roundabout, great roundabout, large roundabout, little roundabout, long roundabout, many roundabout, old roundabout, same roundabout, such roundabout, usual roundabout	[lemma] in the *: 	*_NOUN [lemma]: cloth roundabout, country roundabout, linen roundabout, miles roundabout, people roundabout, region roundabout, regions roundabout, steam roundabout, traffic roundabout, villages roundabout
n02966193	whirligig	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: continual whirligig, great whirligig, little whirligig, mad whirligig, other whirligig, political whirligig, social whirligig, strange whirligig, whole whirligig, wild whirligig	[lemma] in the *: 	*_NOUN [lemma]: paper whirligig, penny whirligig
n02788148	bannister	[lemma] was *_VERB: 	[lemma] is *_VERB: 	*_ADJ [lemma]: broken bannister, carved bannister, iron bannister, metal bannister, polished bannister, pulpit bannister, uppermost bannister, upstairs bannister, wooden bannister	[lemma] in the *: 	*_NOUN [lemma]: iron bannister, mahogany bannister, marble bannister, oak bannister, porch bannister, stair bannister, staircase bannister, stairway bannister, stone bannister, wood bannister
n02788148	banister	[lemma] was *_VERB: banister was broken	[lemma] is *_VERB: 	*_ADJ [lemma]: broad banister, broken banister, carved banister, iron banister, old banister, polished banister, smooth banister, uppermost banister, wooden banister, young banister	[lemma] in the *: banister in the hall, banister in the hallway	*_NOUN [lemma]: iron banister, mahogany banister, marble banister, oak banister, porch banister, stair banister, staircase banister, stairway banister, stone banister, walnut banister
n02788148	balustrade	[lemma] was *_VERB: balustrade was added, balustrade was broken, balustrade was carved, balustrade was covered, balustrade was erected, balustrade was replaced	[lemma] is *_VERB: balustrade is carried, balustrade is composed, balustrade is cut, balustrade is employed, balustrade is formed, balustrade is ornamented, balustrade is put, balustrade is worked	*_ADJ [lemma]: carved balustrade, elegant balustrade, handsome balustrade, heavy balustrade, iron balustrade, light balustrade, low balustrade, massive balustrade, open balustrade, wooden balustrade	[lemma] in the *: balustrade in the Hero, balustrade in the background, balustrade in the foreground, balustrade in the gallery, balustrade in the hall	*_NOUN [lemma]: brass balustrade, granite balustrade, iron balustrade, mahogany balustrade, marble balustrade, oak balustrade, roof balustrade, silver balustrade, stone balustrade, terrace balustrade
